 ,Area,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,17.699,0.737,7.346,100,178,20,53.130,3.608,2.151,0.465,0.915
2,16.922,0.426,9.807,100,382,5,8.616,2.635,4.027,0.248,0.836
3,19.426,0.445,10.322,100,139,1,175.101,2.938,3.456,0.289,0.879
4,27.023,0.928,6.504,100,426,25,71.565,5.289,1.132,0.884,0.951
5,15.886,0.681,7.257,100,359,16,21.371,3.061,2.618,0.382,0.900
6,25.469,0.861,6.700,100,213,20,15.255,5.040,1.378,0.726,0.918
7,29.009,0.931,6.878,100,58,15,160.017,5.583,1.192,0.839,0.950
8,38.074,0.949,7.640,100,133,10,112.620,6.758,1.097,0.912,0.956
9,16.749,0.942,5.140,100,398,14,149.036,4.407,1.087,0.920,0.939
10,38.074,0.392,13.117,100,0,25,15.593,4.954,3.119,0.321,0.769
11,23.483,0.881,6.713,100,158,32,23.199,4.701,1.326,0.754,0.940
12,36.088,0.382,12.358,100,348,43,28.393,5.650,1.854,0.539,0.776
13,62.680,0.253,18.408,100,174,57,24.520,7.855,3.276,0.305,0.622
14,29.527,0.924,6.935,100,68,53,53.616,6.002,1.154,0.866,0.942
15,23.829,0.455,11.709,100,311,35,162.474,2.894,4.396,0.227,0.889
16,22.016,0.750,6.860,100,4,42,136.736,5.203,1.324,0.756,0.887
17,30.131,0.912,7.009,100,365,57,33.024,5.877,1.149,0.871,0.937
18,27.800,0.892,7.269,100,89,54,14.036,4.995,1.434,0.697,0.943
19,57.672,0.269,14.612,100,16,74,15.154,8.783,1.508,0.663,0.692
20,44.722,0.921,8.127,100,422,47,130.601,7.480,1.052,0.951,0.950
21,56.809,0.691,11.932,100,217,55,170.074,6.708,2.051,0.487,0.892
22,18.131,0.568,9.075,100,139,68,29.055,2.891,3.271,0.306,0.911
23,24.951,0.763,8.521,100,301,55,133.603,4.363,2.041,0.490,0.923
24,26.332,0.550,10.533,100,370,77,22.989,3.805,2.920,0.342,0.884
25,32.290,0.441,11.845,100,0,100,82.875,3.820,3.072,0.326,0.866
26,46.362,0.262,19.722,100,241,96,24.656,4.373,5.432,0.184,0.711
27,40.837,0.553,11.014,100,70,74,170.789,5.846,2.156,0.464,0.807
28,35.743,0.919,7.583,100,440,70,125.538,6.441,1.124,0.890,0.943
29,34.448,0.480,13.484,100,116,74,168.690,3.573,3.999,0.250,0.917
30,25.296,0.806,8.169,100,410,70,127.694,4.543,1.854,0.539,0.932
31,24.347,0.851,7.416,100,211,95,56.310,4.599,1.599,0.625,0.940
32,27.886,0.927,6.853,100,179,86,149.036,5.519,1.218,0.821,0.946
33,44.118,0.908,8.642,100,376,92,162.181,7.023,1.234,0.811,0.945
34,18.908,0.834,6.570,100,143,91,169.695,3.526,1.804,0.554,0.940
35,15.540,0.827,5.993,100,43,96,168.690,3.499,1.780,0.562,0.916
36,32.635,0.920,7.064,100,124,115,73.072,6.307,1.095,0.913,0.943
37,38.419,0.943,7.763,100,71,111,29.476,6.464,1.154,0.867,0.956
38,35.139,0.953,7.257,100,259,95,121.759,6.441,1.094,0.914,0.952
39,22.965,0.774,7.064,100,452,95,106.928,4.407,1.594,0.627,0.927
40,22.361,0.693,8.414,100,219,97,155.225,3.866,2.224,0.450,0.914
41,34.966,0.285,12.902,100,1,129,30.069,5.830,2.435,0.411,0.593
42,14.073,0.418,9.278,100,172,103,169.046,2.351,4.790,0.209,0.858
43,20.721,0.933,6.309,100,335,115,27.759,4.407,1.351,0.740,0.962
44,32.376,0.919,6.984,100,429,111,112.249,6.439,1.071,0.934,0.941
45,24.606,0.809,7.912,100,242,116,105.068,4.114,1.948,0.513,0.944
46,30.390,0.647,10.234,100,109,143,39.174,4.540,2.537,0.394,0.880
47,62.852,0.652,12.047,100,403,119,102.680,7.951,1.718,0.582,0.847
48,96.523,0.907,11.579,100,47,124,125.707,11.131,1.010,0.990,0.961
49,13.727,0.875,4.986,100,1,131,135.000,4.114,1.101,0.908,0.916
50,23.483,0.625,9.407,100,265,142,14.470,3.740,2.786,0.359,0.901
51,59.572,0.639,13.015,100,357,136,151.699,6.400,2.388,0.419,0.872
52,39.455,0.926,8.068,100,201,142,146.889,6.758,1.073,0.932,0.956
53,150.656,0.149,30.914,100,6,206,36.107,11.258,2.949,0.339,0.569
54,37.038,0.943,7.662,100,297,169,57.529,6.464,1.157,0.864,0.958
55,29.700,0.878,7.993,100,127,160,126.027,5.290,1.528,0.655,0.941
56,39.801,0.327,15.425,100,242,161,139.635,4.840,3.349,0.299,0.760
57,23.138,0.839,7.155,100,194,163,109.179,4.701,1.510,0.662,0.919
58,20.116,0.340,12.260,100,283,199,45.971,3.269,4.512,0.222,0.657
59,24.174,0.744,8.567,100,358,170,149.036,3.931,2.271,0.440,0.927
60,24.865,0.632,9.767,100,152,177,6.911,3.232,2.980,0.336,0.947
61,23.052,0.755,7.912,100,208,194,58.671,4.155,1.818,0.550,0.901
62,72.436,0.692,13.719,100,387,186,9.866,6.758,2.161,0.463,0.912
63,40.923,0.508,11.986,100,225,193,11.310,6.105,2.177,0.459,0.780
64,73.990,0.337,14.009,100,75,198,9.660,9.855,1.246,0.803,0.737
65,23.656,0.363,12.851,100,313,183,169.461,3.232,4.330,0.231,0.823
