N_Processors, Seq05%, Seq10%, Seq50%, Seq70%, Seq90%
2, 1.90, 1.82, 1.33, 1.18, 1.05
4, 3.48, 3.08, 1.60, 1.29, 1.08
6, 4.80, 4.00, 1.71, 1.33, 1.09
8, 5.93, 4.71, 1.78, 1.36, 1.10
10, 6.90, 5.26, 1.82, 1.37, 1.10
12, 7.74, 5.71, 1.85, 1.38, 1.10
14, 8.48, 6.09, 1.87, 1.39, 1.10
16, 9.14, 6.40, 1.88, 1.39, 1.10
18, 9.73, 6.67, 1.89, 1.40, 1.10
20, 10.26, 6.90, 1.90, 1.40, 1.10
30, 12.24, 7.69, 1.94, 1.41, 1.11
40, 13.56, 8.16, 1.95, 1.41, 1.11
50, 14.49, 8.47, 1.96, 1.42, 1.11
80, 16.16, 8.99, 1.98, 1.42, 1.11
100, 16.81, 9.17, 1.98, 1.42, 1.11
