N_Processors, Seq05%, Seq10%, Seq50%, Seq70%, Seq90%
2, 1.95, 1.90, 1.50, 1.30, 1.10
4, 3.85, 3.70, 2.50, 1.90, 1.30
6, 5.75, 5.50, 3.50, 2.50, 1.50
8, 7.65, 7.30, 4.50, 3.10, 1.70
10, 9.55, 9.10, 5.50, 3.70, 1.90
12, 11.45, 10.90, 6.50, 4.30, 2.10
14, 13.35, 12.70, 7.50, 4.90, 2.30
16, 15.25, 14.50, 8.50, 5.50, 2.50
18, 17.15, 16.30, 9.50, 6.10, 2.70
20, 19.05, 18.10, 10.50, 6.70, 2.90
30, 28.55, 27.10, 15.50, 9.70, 3.90
40, 38.05, 36.10, 20.50, 12.70, 4.90
50, 47.55, 45.10, 25.50, 15.70, 5.90
80, 76.05, 72.10, 40.50, 24.70, 8.90
100, 95.05, 90.10, 50.50, 30.70, 10.90
